, PRE,RC1,BETWEEN,RC2,ADV,FINAL,
OO,3.052529972,3.316789459,3.179121534,3.119877117,2.753795986,2.698662002,
OS,3.074771018,3.329650665,3.192273183,3.153655207,2.730903309,2.68571492,
SO,3.070661027,3.219796879,3.168862938,3.133488809,2.792857239,2.710445109,
SS,3.07740216,3.209303691,3.175078717,3.150042437,2.728021035,2.704943182,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Row Labels,Average of log_PRE,Average of log_R34,Average of log_R5,Average of log_R6,Average of log_R78,Average of log_R9,Average of log_R10
OO,3.052529972,3.316789459,2.883674647,2.785460155,3.119877117,2.753795986,2.698662002
OS,3.074771018,3.329650665,2.908496159,2.789898359,3.153655207,2.730903309,2.68571492
SO,3.070661027,3.219796879,2.872027268,2.793821662,3.133488809,2.792857239,2.710445109
SS,3.07740216,3.209303691,2.880179502,2.799915482,3.150042437,2.728021035,2.704943182