Average of log_R3478,Column Labels,,,,,,,,,,
Row Labels,OO,OS,SO,SS,Grand Total,,Subject,OO,OS,SO,SS
1,3.565863107,3.640216227,3.540292438,3.459569129,3.551485225,,1,3.565863107,3.640216227,3.540292438,3.459569129
2,3.341301618,3.270232931,3.336174311,3.310074048,3.314445727,,2,3.341301618,3.270232931,3.336174311,3.310074048
3,3.304268034,3.309904788,3.326503167,3.254710001,3.298846497,,3,3.304268034,3.309904788,3.326503167,3.254710001
5,3.695160866,3.667467632,3.492971259,3.619487529,3.618771822,,5,3.695160866,3.667467632,3.492971259,3.619487529
6,3.534020805,3.641401947,3.357364155,3.470928585,3.500928873,,6,3.534020805,3.641401947,3.357364155,3.470928585
7,3.789373693,3.81843002,3.539553231,3.64535898,3.698178981,,7,3.789373693,3.81843002,3.539553231,3.64535898
8,3.268304148,3.356654915,3.345485734,3.305254642,3.31892486,,8,3.268304148,3.356654915,3.345485734,3.305254642
9,3.839514158,3.82329678,3.698626877,3.702456662,3.765973619,,9,3.839514158,3.82329678,3.698626877,3.702456662
10,4.05730739,3.987361602,3.930132222,3.965491232,3.985073112,,10,4.05730739,3.987361602,3.930132222,3.965491232
12,3.683251629,3.579473009,3.64218293,3.588942383,3.623462488,,12,3.683251629,3.579473009,3.64218293,3.588942383
13,3.510353307,3.66536863,3.521859638,3.567389316,3.566242723,,13,3.510353307,3.66536863,3.521859638,3.567389316
14,3.395451289,3.545831195,3.510598938,3.46848746,3.480092221,,14,3.395451289,3.545831195,3.510598938,3.46848746
17,3.557378206,3.599811367,3.645051006,3.758052844,3.640073356,,17,3.557378206,3.599811367,3.645051006,3.758052844
18,3.563676977,3.401781105,3.305571157,3.38097559,3.413001207,,18,3.563676977,3.401781105,3.305571157,3.38097559
21,3.872878059,3.931187511,3.972465563,3.829181485,3.901428154,,21,3.872878059,3.931187511,3.972465563,3.829181485
23,3.750336983,3.971193298,3.799545849,3.764136656,3.821303196,,23,3.750336983,3.971193298,3.799545849,3.764136656
24,3.603797881,3.726143312,3.688903455,3.623860732,3.660676345,,24,3.603797881,3.726143312,3.688903455,3.623860732
25,3.620508174,3.683253758,3.342156317,3.499790695,3.536427236,,25,3.620508174,3.683253758,3.342156317,3.499790695
27,3.692341529,3.82908452,3.755498017,3.667225679,3.736037436,,27,3.692341529,3.82908452,3.755498017,3.667225679
28,3.292752025,3.32514969,3.270759356,3.33472358,3.305846163,,28,3.292752025,3.32514969,3.270759356,3.33472358
29,3.828937571,3.791598193,3.672315305,3.713608541,3.751614902,,29,3.828937571,3.791598193,3.672315305,3.713608541
32,3.535776613,3.558537848,3.323739486,3.408776409,3.456707589,,32,3.535776613,3.558537848,3.323739486,3.408776409
33,3.759286695,3.757940476,3.715947441,3.727990582,3.740291298,,33,3.759286695,3.757940476,3.715947441,3.727990582
34,3.621469097,3.647530784,3.598031289,3.604350028,3.6178453,,34,3.621469097,3.647530784,3.598031289,3.604350028
35,3.340794712,3.555490588,3.510176108,3.47837038,3.471207947,,35,3.340794712,3.555490588,3.510176108,3.47837038
37,3.509591238,3.443063729,3.530940031,3.418453241,3.47551206,,37,3.509591238,3.443063729,3.530940031,3.418453241
38,3.604631847,3.567199995,3.464517558,3.545693841,3.54551081,,38,3.604631847,3.567199995,3.464517558,3.545693841
39,3.598849367,3.641001542,3.42658918,3.455223952,3.53041601,,39,3.598849367,3.641001542,3.42658918,3.455223952
40,3.707095875,3.786085794,3.622049151,3.612141394,3.681843054,,40,3.707095875,3.786085794,3.622049151,3.612141394
41,3.500503157,3.444582569,3.407542566,3.292834155,3.411365612,,41,3.500503157,3.444582569,3.407542566,3.292834155
42,3.405409205,3.410607447,3.451710042,3.378656974,3.411595917,,42,3.405409205,3.410607447,3.451710042,3.378656974
44,3.628602359,3.640699716,3.526814189,3.431727973,3.556961059,,44,3.628602359,3.640699716,3.526814189,3.431727973
45,3.60862184,3.67555828,3.690946227,3.625181465,3.650076953,,45,3.60862184,3.67555828,3.690946227,3.625181465
47,3.872523749,3.911799586,3.845688511,3.80231611,3.858081989,,47,3.872523749,3.911799586,3.845688511,3.80231611
51,3.650370438,3.655332703,3.673900695,3.617693591,3.649324357,,51,3.650370438,3.655332703,3.673900695,3.617693591
52,3.798795649,3.811900695,3.691971003,3.707518971,3.752546579,,52,3.798795649,3.811900695,3.691971003,3.707518971
Grand Total,3.608586091,3.640893727,3.560404844,3.55657319,3.591614463,,,,,,